bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,package_distance,pair_divergence
Chart_2,0,1,0.1429,0.7846,0.0000,0.1121
Chart_4,0,1,1.0000,0.0000,0.0000,0.0000
Chart_14,0,1,0.0000,0.0000,0.0000,0.0000
Chart_14,0,2,0.0000,1.0000,1.0000,0.0000
Chart_14,0,3,0.0000,1.0000,1.0000,0.0000
Chart_14,1,2,0.0000,1.0000,1.0000,0.0000
Chart_14,1,3,0.0000,1.0000,1.0000,0.0000
Chart_14,2,3,0.0000,0.0000,0.0000,0.0000
Chart_15,0,1,0.6000,0.3931,0.0000,0.2359
Chart_16,0,1,1.0000,0.7245,0.0000,0.7245
Chart_18,0,1,1.0000,0.7217,0.0000,0.7217
Chart_18,0,2,1.0000,1.0000,1.0000,1.0000
Chart_18,1,2,1.0000,1.0000,1.0000,1.0000
Chart_19,0,1,0.0000,0.0000,0.0000,0.0000
Chart_21,0,1,1.0000,0.0000,0.0000,0.0000
Chart_21,0,2,1.0000,0.5000,0.0000,0.5000
Chart_21,1,2,0.9474,0.5000,0.0000,0.4737
Chart_22,0,1,1.0000,0.4421,0.0000,0.4421
Chart_22,0,2,1.0000,0.4421,0.0000,0.4421
Chart_22,0,3,1.0000,0.7008,0.0000,0.7008
Chart_22,1,2,0.9200,0.0000,0.0000,0.0000
Chart_22,1,3,0.9231,0.5714,0.0000,0.5275
Chart_22,2,3,1.0000,0.5714,0.0000,0.5714
Chart_25,0,1,1.0000,0.4421,0.0000,0.4421
Chart_25,0,2,0.5000,0.0000,0.0000,0.0000
Chart_25,0,3,0.0000,0.0000,0.0000,0.0000
Chart_25,0,4,1.0000,0.4421,0.0000,0.4421
Chart_25,0,5,0.5000,0.0000,0.0000,0.0000
Chart_25,1,2,1.0000,0.4421,0.0000,0.4421
Chart_25,1,3,1.0000,0.4421,0.0000,0.4421
Chart_25,1,4,0.0000,0.6206,0.0000,0.0000
Chart_25,1,5,1.0000,0.4421,0.0000,0.4421
Chart_25,2,3,0.5000,0.0000,0.0000,0.0000
Chart_25,2,4,1.0000,0.4421,0.0000,0.4421
Chart_25,2,5,0.0000,0.0000,0.0000,0.0000
Chart_25,3,4,1.0000,0.4421,0.0000,0.4421
Chart_25,3,5,0.5000,0.0000,0.0000,0.0000
Chart_25,4,5,1.0000,0.4421,0.0000,0.4421
Cli_1,0,1,1.0000,0.2560,0.0000,0.2560
Cli_1,0,2,1.0000,0.5119,0.0000,0.5119
Cli_1,0,3,1.0000,0.4057,0.0000,0.4057
Cli_1,0,4,1.0000,0.4057,0.0000,0.4057
Cli_1,0,5,1.0000,0.0000,0.0000,0.0000
Cli_1,0,6,1.0000,0.4057,0.0000,0.4057
Cli_1,0,7,1.0000,0.5119,0.0000,0.5119
Cli_1,0,8,1.0000,0.5119,0.0000,0.5119
Cli_1,0,9,1.0000,0.0000,0.0000,0.0000
Cli_1,1,2,1.0000,0.5943,0.0000,0.5943
Cli_1,1,3,1.0000,0.5119,0.0000,0.5119
Cli_1,1,4,1.0000,0.5119,0.0000,0.5119
Cli_1,1,5,1.0000,0.2560,0.0000,0.2560
Cli_1,1,6,1.0000,0.5119,0.0000,0.5119
Cli_1,1,7,1.0000,0.5943,0.0000,0.5943
Cli_1,1,8,1.0000,0.5943,0.0000,0.5943
Cli_1,1,9,1.0000,0.2560,0.0000,0.2560
Cli_1,2,3,1.0000,0.6616,0.0000,0.6616
Cli_1,2,4,1.0000,0.6616,0.0000,0.6616
Cli_1,2,5,1.0000,0.5119,0.0000,0.5119
Cli_1,2,6,1.0000,0.6616,0.0000,0.6616
Cli_1,2,7,1.0000,0.7186,0.0000,0.7186
Cli_1,2,8,1.0000,0.7186,0.0000,0.7186
Cli_1,2,9,1.0000,0.5119,0.0000,0.5119
Cli_1,3,4,1.0000,0.5943,0.0000,0.5943
Cli_1,3,5,1.0000,0.4057,0.0000,0.4057
Cli_1,3,6,1.0000,0.5943,0.0000,0.5943
Cli_1,3,7,1.0000,0.6616,0.0000,0.6616
Cli_1,3,8,1.0000,0.6616,0.0000,0.6616
Cli_1,3,9,1.0000,0.4057,0.0000,0.4057
Cli_1,4,5,0.7857,0.4057,0.0000,0.3188
Cli_1,4,6,0.8261,0.5943,0.0000,0.4910
Cli_1,4,7,1.0000,0.6616,0.0000,0.6616
Cli_1,4,8,1.0000,0.6616,0.0000,0.6616
Cli_1,4,9,1.0000,0.4057,0.0000,0.4057
Cli_1,5,6,0.7931,0.4057,0.0000,0.3217
Cli_1,5,7,1.0000,0.5119,0.0000,0.5119
Cli_1,5,8,1.0000,0.5119,0.0000,0.5119
Cli_1,5,9,1.0000,0.0000,0.0000,0.0000
Cli_1,6,7,1.0000,0.6616,0.0000,0.6616
Cli_1,6,8,1.0000,0.6616,0.0000,0.6616
Cli_1,6,9,1.0000,0.4057,0.0000,0.4057
Cli_1,7,8,1.0000,0.7186,0.0000,0.7186
Cli_1,7,9,1.0000,0.5119,0.0000,0.5119
Cli_1,8,9,1.0000,0.5119,0.0000,0.5119
Cli_7,0,1,1.0000,0.3667,0.0000,0.3667
Cli_10,0,1,1.0000,0.4255,0.0000,0.4255
Cli_13,0,1,1.0000,1.0000,1.0000,1.0000
Cli_13,0,2,1.0000,1.0000,1.0000,1.0000
Cli_13,1,2,1.0000,1.0000,1.0000,1.0000
Cli_14,0,1,0.6667,0.5566,0.0000,0.3711
Cli_16,0,1,1.0000,0.0000,0.0000,0.0000
Cli_16,0,2,1.0000,1.0000,1.0000,1.0000
Cli_16,0,3,1.0000,1.0000,1.0000,1.0000
Cli_16,0,4,1.0000,1.0000,1.0000,1.0000
Cli_16,0,5,1.0000,1.0000,1.0000,1.0000
Cli_16,1,2,1.0000,1.0000,1.0000,1.0000
Cli_16,1,3,1.0000,1.0000,1.0000,1.0000
Cli_16,1,4,1.0000,1.0000,1.0000,1.0000
Cli_16,1,5,1.0000,1.0000,1.0000,1.0000
Cli_16,2,3,1.0000,1.0000,1.0000,1.0000
Cli_16,2,4,1.0000,1.0000,1.0000,1.0000
Cli_16,2,5,1.0000,1.0000,1.0000,1.0000
Cli_16,3,4,1.0000,1.0000,1.0000,1.0000
Cli_16,3,5,1.0000,1.0000,1.0000,1.0000
Cli_16,4,5,1.0000,0.0000,0.0000,0.0000
Cli_18,0,1,1.0000,0.7360,0.0000,0.7360
Cli_18,0,2,1.0000,0.6744,0.0000,0.6744
Cli_18,1,2,1.0000,0.3372,0.0000,0.3372
Cli_21,0,1,1.0000,0.0000,0.0000,0.0000
Cli_21,0,2,1.0000,1.0000,1.0000,1.0000
Cli_21,0,3,1.0000,1.0000,1.0000,1.0000
Cli_21,0,4,1.0000,1.0000,1.0000,1.0000
Cli_21,0,5,1.0000,1.0000,1.0000,1.0000
Cli_21,1,2,1.0000,1.0000,1.0000,1.0000
Cli_21,1,3,1.0000,1.0000,1.0000,1.0000
Cli_21,1,4,1.0000,1.0000,1.0000,1.0000
Cli_21,1,5,1.0000,1.0000,1.0000,1.0000
Cli_21,2,3,1.0000,0.0000,0.0000,0.0000
Cli_21,2,4,1.0000,0.3504,0.0000,0.3504
