bug_id,hunk_count,divergence
Chart_2,2,0.1121
Chart_4,2,0.0000
Chart_14,4,0.0000
Chart_15,2,0.2359
Chart_16,2,0.7245
Chart_18,3,0.9602
Chart_19,2,0.0000
Chart_21,3,0.3246
Chart_22,4,0.4473
Chart_25,6,0.2358
Cli_1,10,0.4881
Cli_7,2,0.3667
Cli_10,2,0.4255
Cli_13,3,1.0000
Cli_14,2,0.3711
Cli_16,6,0.9512
Cli_18,3,0.5825
Cli_21,6,0.9038
Cli_22,7,0.6078
Cli_23,2,0.8039
Cli_26,2,0.7831
Cli_30,2,0.1000
Cli_31,3,1.0000
Cli_33,2,0.4362
Cli_34,2,1.0000
Cli_36,3,0.9151
Cli_39,2,0.7819
Closure_3,3,0.5218
Closure_4,2,0.0000
Closure_6,3,0.3283
Closure_9,2,0.5064
Closure_16,2,0.7545
Closure_21,2,0.5714
Closure_24,2,0.8843
Closure_25,2,0.4393
Closure_26,3,0.0000
Closure_27,3,0.5142
Closure_29,3,0.0000
Closure_30,4,0.8577
Closure_32,4,0.4178
Closure_34,3,0.9660
Closure_37,2,1.0000
Closure_39,2,0.8538
Closure_41,2,0.0000
Closure_43,3,0.3620
Closure_45,3,0.6359
Closure_47,2,1.0000
Closure_49,3,0.5018
Closure_50,2,0.5377
Closure_51,2,0.4628
Closure_53,2,0.0000
Closure_54,3,0.9623
Closure_60,2,0.5218
Closure_64,2,0.6594
Closure_68,3,0.5119
Closure_72,2,1.0000
Closure_74,2,0.3413
Closure_75,2,0.5218
Closure_76,4,0.6511
Closure_79,2,1.0000
Closure_80,2,0.0000
Closure_84,3,0.0000
Closure_85,3,0.5956
Closure_89,2,1.0000
Closure_90,2,1.0000
Closure_98,3,0.0000
Closure_99,2,0.6206
Closure_100,2,0.4362
Closure_103,2,1.0000
Closure_105,2,0.5321
Closure_106,2,1.0000
Closure_108,4,0.2889
Closure_110,6,0.8089
Closure_115,2,0.7380
Closure_116,2,0.0000
Closure_117,2,0.0000
Closure_134,6,0.8545
Closure_135,3,0.8571
Closure_136,2,0.9333
Closure_137,10,0.8454
Closure_138,3,0.9463
Closure_139,4,0.2343
Closure_140,3,0.2377
Closure_141,3,0.8971
Closure_142,3,0.8571
Closure_143,2,1.0000
Closure_144,9,0.9279
Closure_147,2,1.0000
Closure_148,16,0.5939
Closure_149,7,0.9387
Closure_151,3,0.0000
Closure_153,12,0.9228
Closure_154,6,0.8807
Closure_155,7,0.8941
Closure_156,7,0.4842
Closure_157,7,0.9606
Closure_158,11,0.8351
Closure_160,2,0.3297
Closure_162,6,0.7570
Closure_163,18,0.6918
Closure_164,2,0.0000
Closure_165,10,0.8897
Closure_167,6,0.8756
Closure_169,21,0.9668
Closure_171,2,1.0000
Closure_173,2,1.0000
Closure_174,7,0.9346
Closure_175,4,0.4829
Closure_176,3,0.6566
Codec_1,3,1.0000
Codec_6,3,0.4672
Codec_8,2,1.0000
Codec_11,7,0.3451
Codec_12,2,0.0000
Codec_13,3,0.8805
Codec_14,5,0.9349
Collections_25,3,0.2165
Compress_2,6,0.3433
Compress_3,4,0.0000
Compress_4,4,1.0000
Compress_6,2,0.4362
Compress_9,2,0.4255
Compress_10,2,0.3899
Compress_11,2,0.0000
